Nombre,Apellido_Paterno,Apellido_Materno,Foto,Nacimiento,Defuncion,Pais_de_Nacimiento,Formacion,Estudios,Area_de_trabajo,Link
Carmen,Foncea,,,1947,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,https://galerias.bid-dimad.org/bid12/2014/03/24/pepa-foncea/#prettyPhoto
Jessie,Cintolesi,,,circa 1948,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,https://www.dialogosdiseno.com/logotipos/intec-instituto-de-investigaciones-tecnologicas-corfo/
Lucía,Wormald,,,circa 1948,,Chile,Universidad de Chile,Diseño,Gráfico,https://www.dialogosdiseno.com/logotipos/intec-instituto-de-investigaciones-tecnologicas-corfo/
Eddy,Carmona,,,circa 1950,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,https://www.dialogosdiseno.com/logotipos/intec-instituto-de-investigaciones-tecnologicas-corfo/
(María) Ximena,Ulibarri,Lorenzini,,1947,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,
Susana,Wald,Resinger,,1937,,Hungría,Escuela Nacional de Cerámica Buenos Aires,Disciplina afín,Gráfico,
Cecilia,Busquets,,,circa 1953,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,
Ximena,del Campo,,,circa 1949,,Chile,Universidad de Chile,Diseño,Gráfico,
Ana María,Maksymowicz,,,1956,2013,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,
Carmen,Montellano,,,circa 1946,,Chile,Escuela de Artes aplicadas,Disciplina afín,Académica,
Paulina,Brugnoli,Bailoni,,1940,,Chile,Universidad de Chile,Disciplina afín,Textil,
María del Rosario,France,Valdés,,circa 1949,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,
Bernardita,Santelices,,,,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,
Verónica,Grove,,,circa 1953,,Chile,Pontificia Universidad Católica de Chile,Disciplina afín,Packaging,https://www.ead.pucv.cl/1972/odas/
Dora,Muñoz,Galván,,1949,2020,Chile,Universidad de Chile,Diseño,Académica,
Tessa,Aguadé,Bru,,circa 1946,,Chile,Escuela de Artes Aplicadas Universidad de Chile,Disciplina afín,Industrial,
Carmen,Hepp,,,circa 1944,,Chile,Escuela de Artes aplicadas,Disciplina afín,Equipamiento,
Inés,Harnecker,,,circa 1938,,Chile,Escuela de Artes aplicadas,Disciplina afín,Diseño de interiores,
Ana María,Hidalgo,,,,,Chile,Escuela de Artes aplicadas,Disciplina afín,Textil,
Margarita,Alvarado,,,,,Chile,Universidad de Chile,Disciplina afín,Académica,
Mary Ann,Streeter,,,circa 1947,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,
Mariana,de Soto,,,,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,
Eliana,Schwarzemberg,,,1949,,Chile,Pontificia Universidad Católica de Chile,Diseño,Textil,http://www.mananaart.de/
María Luisa,Godoy,,,,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,
Carlota,Godoy,Bustos,,,,Chile,Pontificia Universidad Católica de Chile,Diseño,,
Verónica,Rojas,,,,,Chile,Universidad de Chile,,,https://artes.uchile.cl/noticias/213915/veronica-rojas-defiendo-el-resultado-la-originalidad-y-autoria
Pepa,Riesco,,,,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,https://www.artistasvisualeschilenos.cl/658/w3-printer-40500.html
Ninon,Jego,Araya,,circa 1950,,Chile,Universidad de Chile,Diseño,Académica,http://linkedin.com/in/ninon-jego-araya-8a702528
María Angélica,Pizarro,,,,,Chile,,Diseño,Gráfico,
Loreto,Valdés,Arrieta,,1960?,,Chile,Pontificia Universidad Católica de Chile,Diseño,Packaging,
Eliana,Díaz,,,,,Chile,Escuela de Artes Aplicadas,Disciplina afín,Académica,
Lea,Kleiner,Haas,,1929,,Croacia,Escuela de Artes Aplicadas,Disciplina afín,Ilustración,https://www.artistasvisualeschilenos.cl/658/w3-article-40341.html
Eva,Holz,,,1946,,Chile,Escuela de Artes aplicadas,Disciplina afín,Ambiental/paisajismo,
Sabinee,Zegers,,,,,Chile,Universidad de Chile,Diseño,,
María,Kluczynska,,,circa 1942,,Chile,Escuela de Artes aplicadas,Diseño,Textil,https://uchile.cl/noticias/178700/departamento-de-teatro-lamenta-la-muerte-de-maria-kluczynska
Sylvia Jacqueline,Unanue,Quiñones,,circa 1953,,Chile,Universidad de Valparaíso,Diseño,Textil,
Victoria,Ratinoff,Ferrera,,,,Chile,Universidad de Valparaíso,Diseño,Ergonomía,
Polimnia,Sepúlveda,,,circa 1941,,Chile,,,Cerámica,https://www.polimniasepulveda.cl/
Isabel Margarita,Aguirre,,,,,,,,Gráfico,
Verónica,Illanes,,,,,Chile,Pontificia Universidad Católica de Chile,Diseño,Gráfico,
Marta,Miranda,,,,,Chile,Universidad de Chile,Disciplina afín,Textil,http://www.economiaynegocios.cl/noticias/noticias.asp?id=264972
Marisol,Navarro,,,,,,,Diseño,Industrial,
Isabel,Baixas,,,,,,,,,
